ALUMNO_ID,carrera,primer_parcial,firma_actual,exonera,firma_previa,materias_aprobadas_anterior,cantidad_materias_anterior,tasa_aprobacion_anterior,cantidad_materias_actual
FIUNA_ALUMNO_005925,Ing. Geográfica,0,18,0,40,1,5,0.2,7
FIUNA_ALUMNO_007516,Ing. Geográfica,0,18,0,40,1,5,0.2,7
FIUNA_ALUMNO_005561,Ing. Industrial,0,20,0,53,3,7,0.42857142857142855,7
FIUNA_ALUMNO_007838,Ing. Industrial,0,20,0,53,3,7,0.42857142857142855,7
FIUNA_ALUMNO_006031,Ing. Civil,0,20,0,34,4,6,0.6666666666666666,6
FIUNA_ALUMNO_007861,Ing. Civil,0,20,0,34,4,6,0.6666666666666666,6
FIUNA_ALUMNO_006420,Ing. Civil,67,66,0,53,2,7,0.2857142857142857,7
FIUNA_ALUMNO_007467,Ing. Civil,67,66,0,53,2,7,0.2857142857142857,7
FIUNA_ALUMNO_006043,Ing. Industrial,22,27,0,32,3,6,0.5,5
FIUNA_ALUMNO_007865,Ing. Industrial,22,27,0,32,3,6,0.5,5
FIUNA_ALUMNO_006866,Ing. Geográfica,25,57,0,42,3,8,0.375,8
FIUNA_ALUMNO_009445,Ing. Geográfica,25,57,0,42,3,8,0.375,8
FIUNA_ALUMNO_006871,Ing. Electromecánica,8,50,0,21,4,7,0.5714285714285714,8
FIUNA_ALUMNO_008867,Ing. Electromecánica,8,50,0,21,4,7,0.5714285714285714,8
FIUNA_ALUMNO_006885,Ing. Industrial,0,0,0,38,3,6,0.5,5
FIUNA_ALUMNO_009387,Ing. Industrial,0,0,0,38,3,6,0.5,5
FIUNA_ALUMNO_008878,Ing. Electromecánica,42,37,0,46,2,4,0.5,5
FIUNA_ALUMNO_010181,Ing. Electromecánica,42,37,0,46,2,4,0.5,5
FIUNA_ALUMNO_008880,Ing. Civil,47,61,0,30,4,8,0.5,6
FIUNA_ALUMNO_010182,Ing. Civil,47,61,0,30,4,8,0.5,6
FIUNA_ALUMNO_006091,Ing. Geográfica,33,48,0,56,2,4,0.5,5
FIUNA_ALUMNO_007599,Ing. Geográfica,33,48,0,56,2,4,0.5,5
FIUNA_ALUMNO_009866,Ing. Mecatrónica,28,29,0,32,3,6,0.5,6
FIUNA_ALUMNO_010563,Ing. Mecatrónica,28,29,0,32,3,6,0.5,6
FIUNA_ALUMNO_009676,Ing. Mecánica,0,20,0,35,2,4,0.5,5
FIUNA_ALUMNO_010343,Ing. Mecánica,0,20,0,35,2,4,0.5,5
FIUNA_ALUMNO_012009,Ing. Geográfica,0,19,0,33,0,6,0.0,6
FIUNA_ALUMNO_012135,Ing. Geográfica,0,19,0,33,0,6,0.0,6
FIUNA_ALUMNO_006964,Ing. Industrial,0,20,0,50,1,6,0.16666666666666666,5
FIUNA_ALUMNO_009504,Ing. Industrial,0,20,0,50,1,6,0.16666666666666666,5
FIUNA_ALUMNO_006142,Ing. Civil,65,71,1,40,4,6,0.6666666666666666,6
FIUNA_ALUMNO_007631,Ing. Civil,65,71,1,40,4,6,0.6666666666666666,6
FIUNA_ALUMNO_009883,Ing. Electromecánica,56,58,0,34,4,7,0.5714285714285714,5
FIUNA_ALUMNO_010569,Ing. Electromecánica,56,58,0,34,4,7,0.5714285714285714,5
FIUNA_ALUMNO_008979,Ing. Civil,11,42,0,30,2,7,0.2857142857142857,3
FIUNA_ALUMNO_010308,Ing. Civil,11,42,0,30,2,7,0.2857142857142857,3
FIUNA_ALUMNO_006524,Ing. Civil,33,33,0,34,4,8,0.5,8
FIUNA_ALUMNO_007478,Ing. Civil,33,33,0,34,4,8,0.5,8
FIUNA_ALUMNO_006182,Ing. Geográfica,0,20,0,30,0,7,0.0,4
FIUNA_ALUMNO_007041,Ing. Geográfica,0,20,0,30,0,7,0.0,4
FIUNA_ALUMNO_011238,Ing. Geográfica,31,56,0,42,5,8,0.625,7
FIUNA_ALUMNO_011710,Ing. Geográfica,31,56,0,42,5,8,0.625,7
