carrera,primer_parcial,firma_previa,cantidad_materias_actual,cantidad_materias_anterior,materias_aprobadas_anterior,tasa_aprobacion_anterior,exonera
Ing. Geográfica,0,40,7,5,1,0.2,0
Ing. Geográfica,0,40,7,5,1,0.2,0
Ing. Industrial,0,53,7,7,3,0.42857142857142855,0
Ing. Industrial,0,53,7,7,3,0.42857142857142855,0
Ing. Civil,0,34,6,6,4,0.6666666666666666,0
Ing. Civil,0,34,6,6,4,0.6666666666666666,0
Ing. Civil,67,53,7,7,2,0.2857142857142857,0
Ing. Civil,67,53,7,7,2,0.2857142857142857,0
Ing. Industrial,22,32,5,6,3,0.5,0
Ing. Industrial,22,32,5,6,3,0.5,0
Ing. Geográfica,25,42,8,8,3,0.375,0
Ing. Geográfica,25,42,8,8,3,0.375,0
Ing. Electromecánica,8,21,8,7,4,0.5714285714285714,0
Ing. Electromecánica,8,21,8,7,4,0.5714285714285714,0
Ing. Industrial,0,38,5,6,3,0.5,0
Ing. Industrial,0,38,5,6,3,0.5,0
Ing. Electromecánica,42,46,5,4,2,0.5,0
Ing. Electromecánica,42,46,5,4,2,0.5,0
Ing. Civil,47,30,6,8,4,0.5,0
Ing. Civil,47,30,6,8,4,0.5,0
Ing. Geográfica,33,56,5,4,2,0.5,0
Ing. Geográfica,33,56,5,4,2,0.5,0
Ing. Mecatrónica,28,32,6,6,3,0.5,0
Ing. Mecatrónica,28,32,6,6,3,0.5,0
Ing. Mecánica,0,35,5,4,2,0.5,0
Ing. Mecánica,0,35,5,4,2,0.5,0
Ing. Geográfica,0,33,6,6,0,0.0,0
Ing. Geográfica,0,33,6,6,0,0.0,0
Ing. Industrial,0,50,5,6,1,0.16666666666666666,0
Ing. Industrial,0,50,5,6,1,0.16666666666666666,0
Ing. Civil,65,40,6,6,4,0.6666666666666666,1
Ing. Civil,65,40,6,6,4,0.6666666666666666,1
Ing. Electromecánica,56,34,5,7,4,0.5714285714285714,0
Ing. Electromecánica,56,34,5,7,4,0.5714285714285714,0
Ing. Civil,11,30,3,7,2,0.2857142857142857,0
Ing. Civil,11,30,3,7,2,0.2857142857142857,0
Ing. Civil,33,34,8,8,4,0.5,0
Ing. Civil,33,34,8,8,4,0.5,0
Ing. Geográfica,0,30,4,7,0,0.0,0
Ing. Geográfica,0,30,4,7,0,0.0,0
Ing. Geográfica,31,42,7,8,5,0.625,0
Ing. Geográfica,31,42,7,8,5,0.625,0
Ing. Electromecánica,0,56,7,5,3,0.6,0
Ing. Electromecánica,0,56,7,5,3,0.6,0
Ing. Civil,0,52,4,6,0,0.0,0
Ing. Civil,0,52,4,6,0,0.0,0
Ing. Electrónica,0,35,6,3,1,0.3333333333333333,0
Ing. Electrónica,0,35,6,3,1,0.3333333333333333,0
Ing. Mecánica,67,41,4,5,2,0.4,0
Ing. Mecánica,67,41,4,5,2,0.4,0
Ing. Electromecánica,33,38,5,5,3,0.6,0
Ing. Electromecánica,33,38,5,5,3,0.6,0
Ing. Civil,67,51,8,6,4,0.6666666666666666,0
Ing. Civil,67,51,8,6,4,0.6666666666666666,0
Ing. Civil,0,30,6,6,0,0.0,0
Ing. Civil,0,30,6,6,0,0.0,0
Ing. Civil,0,36,2,7,0,0.0,0
Ing. Civil,0,36,2,7,0,0.0,0
Ing. Electromecánica,0,50,5,4,2,0.5,0
